store;score_quantity;score_revenue;score_final
amazon;0,0010459824162527755;0,05227460935126327;0,03178315857725907
facebook_al_production;0,03476061913580537;0,10427657351918561;0,07647019176583351
facebook_revenue_share;0,027719109991290243;0,0972947759545577;0,06946450956925071
facebook_ugc_consumption;0,9076255870777572;0,6484102762483663;0,7520964005801227
facebook_ugc_production;0,009607138549264012;0,05373973918214926;0,03608669892899516
spotify;0,048200229170128284;0,26230872111468934;0,1766653243368649
spotify_discovery;0,09709924494800504;0,02776960180178729;0,05550145906027439
tiktok;0,011958593287858452;0,1229336886311013;0,07854365049380416
youtube;0,40577766049732966;0,3949096489662825;0,39925685357870133
youtube_adjustment;0,022213100385933562;0,059198847379569;0,044404548582114824
youtube_red;0,01897003352513026;0,40594015023405206;0,25115210355048334
youtube_red_adjustment;0,031142880173746758;0,06242756578696391;0,04991369154167705
